,Coordinates1,Coordinates3,Lunar_Day,Crime_Count
837,6,4252,1.0,1
838,6,4255,1.0,1
839,6,4264,1.0,1
840,6,4265,1.0,1
841,6,4271,1.0,1
842,6,4272,1.0,1
843,6,4278,1.0,1
844,6,4282,1.0,1
845,6,4287,1.0,1
846,6,4304,1.0,1
847,6,4312,1.0,1
848,6,4349,1.0,1
849,6,4350,1.0,1
850,6,4354,1.0,1
851,6,4371,1.0,1
852,6,4378,1.0,1
853,6,4384,1.0,1
854,6,4387,1.0,1
855,6,4391,1.0,1
856,6,4396,1.0,1
857,6,4397,1.0,1
858,6,4409,1.0,1
859,6,4412,1.0,1
860,6,4413,1.0,1
861,6,4414,1.0,1
862,6,4419,1.0,1
863,6,4459,1.0,1
864,6,4464,1.0,1
865,6,4466,1.0,1
866,6,4470,1.0,1
867,6,4472,1.0,1
868,6,4475,1.0,1
869,6,4478,1.0,1
870,6,4486,1.0,1
871,6,4492,1.0,1
872,6,4500,1.0,1
873,6,4503,1.0,1
874,6,4504,1.0,1
875,6,4516,1.0,1
876,6,4521,1.0,1
877,6,4526,1.0,1
878,6,4529,1.0,1
879,6,4545,1.0,1
880,6,4596,1.0,1
881,6,4605,1.0,1
882,6,4609,1.0,1
883,6,4610,1.0,1
884,6,4612,1.0,1
885,6,4615,1.0,1
886,6,4618,1.0,1
887,6,4620,1.0,1
888,6,4621,1.0,1
889,6,4629,1.0,1
890,6,4631,1.0,1
891,6,4633,1.0,1
892,6,4640,1.0,1
893,6,4645,1.0,1
894,6,4646,1.0,1
895,6,4651,1.0,1
896,6,4652,1.0,1
897,6,4653,1.0,1
898,6,4656,1.0,1
899,6,4658,1.0,1
900,6,4660,1.0,1
901,6,4713,1.0,1
902,6,4715,1.0,1
903,6,4722,1.0,1
904,6,4723,1.0,1
905,6,4727,1.0,1
906,6,4733,1.0,1
907,6,4736,1.0,1
908,6,4738,1.0,1
909,6,4741,1.0,1
910,6,4743,1.0,1
911,6,4747,1.0,1
912,6,4762,1.0,1
913,6,4770,1.0,1
914,6,4771,1.0,1
915,6,4775,1.0,1
916,6,4844,1.0,1
917,6,4847,1.0,1
918,6,4856,1.0,1
919,6,4859,1.0,1
920,6,4872,1.0,1
921,6,4874,1.0,1
922,6,4882,1.0,1
923,6,4885,1.0,1
924,6,4886,1.0,1
925,6,4893,1.0,1
926,6,4957,1.0,1
927,6,4960,1.0,1
928,6,4961,1.0,1
929,6,4968,1.0,1
930,6,4974,1.0,1
931,6,4982,1.0,1
932,6,4987,1.0,1
933,6,4988,1.0,1
934,6,4990,1.0,1
935,6,4994,1.0,1
936,6,4995,1.0,1
937,6,4997,1.0,1
938,6,5018,1.0,1
939,6,5084,1.0,1
940,6,5085,1.0,1
941,6,5095,1.0,1
942,6,5097,1.0,1
943,6,5100,1.0,1
944,6,5110,1.0,1
945,6,5113,1.0,1
946,6,5114,1.0,1
947,6,5117,1.0,1
948,6,5121,1.0,1
949,6,5122,1.0,1
950,6,5130,1.0,1
951,6,5138,1.0,1
952,6,5139,1.0,1
953,6,5143,1.0,1
954,6,5154,1.0,1
955,6,5155,1.0,1
956,6,5156,1.0,1
957,6,5212,1.0,1
958,6,5218,1.0,1
959,6,5219,1.0,1
960,6,5224,1.0,1
961,6,5230,1.0,1
962,6,5231,1.0,1
963,6,5233,1.0,1
964,6,5234,1.0,1
965,6,5236,1.0,1
966,6,5237,1.0,1
967,6,5242,1.0,1
968,6,5244,1.0,1
969,6,5250,1.0,1
970,6,5253,1.0,1
971,6,5263,1.0,1
972,6,5271,1.0,1
973,6,5324,1.0,1
974,6,5326,1.0,1
975,6,5339,1.0,1
976,6,5351,1.0,1
977,6,5353,1.0,1
978,6,5355,1.0,1
979,6,5356,1.0,1
980,6,5359,1.0,1
981,6,5361,1.0,1
982,6,5366,1.0,1
983,6,5368,1.0,1
984,6,5372,1.0,1
985,6,5378,1.0,1
986,6,5387,1.0,1
987,6,5388,1.0,1
988,6,5389,1.0,1
989,6,5452,1.0,1
990,6,5454,1.0,1
991,6,5455,1.0,1
992,6,5456,1.0,1
993,6,5469,1.0,1
994,6,5473,1.0,1
995,6,5488,1.0,1
996,6,5493,1.0,1
997,6,5499,1.0,1
998,6,5502,1.0,1
999,6,5506,1.0,1
1000,6,5509,1.0,1
1001,6,5517,1.0,1
1002,6,5519,1.0,1
1003,6,5520,1.0,1
1004,6,5524,1.0,1
1005,6,5535,1.0,1
1006,6,5594,1.0,1
1007,6,5597,1.0,1
1008,6,5598,1.0,1
1009,6,5602,1.0,1
1010,6,5613,1.0,1
1011,6,5618,1.0,1
1012,6,5619,1.0,1
1013,6,5620,1.0,1
1014,6,5622,1.0,1
1015,6,5628,1.0,1
1016,6,5631,1.0,1
1017,6,5633,1.0,1
1018,6,5637,1.0,1
1019,6,5638,1.0,1
1020,6,5639,1.0,1
1021,6,5640,1.0,1
1022,6,5643,1.0,1
1023,6,5645,1.0,1
1024,6,5646,1.0,1
1025,6,5647,1.0,1
1026,6,5651,1.0,1
1027,6,5664,1.0,1
1028,6,5669,1.0,1
1029,6,5670,1.0,1
1030,6,5678,1.0,1
1031,6,5734,1.0,1
1032,6,5736,1.0,1
1033,6,5737,1.0,1
1034,6,5749,1.0,1
1035,6,5751,1.0,1
1036,6,5753,1.0,1
1037,6,5755,1.0,1
1038,6,5758,1.0,1
1039,6,5764,1.0,1
1040,6,5773,1.0,1
1041,6,5776,1.0,1
1042,6,5778,1.0,1
1043,6,5784,1.0,1
1044,6,5787,1.0,1
1045,6,5788,1.0,1
1046,6,5789,1.0,1
1047,6,5791,1.0,1
1048,6,5792,1.0,1
1049,6,5796,1.0,1
1050,6,5816,1.0,1
1051,6,5880,1.0,1
1052,6,5881,1.0,1
1053,6,5882,1.0,1
