Coordinates3,Count
"(33.669, -84.389)",4
"(33.669, -84.39)",33
"(33.669, -84.391)",16
"(33.669, -84.392)",5
"(33.669, -84.393)",12
"(33.669, -84.394)",14
"(33.669, -84.395)",13
"(33.669, -84.396)",15
"(33.669, -84.397)",9
"(33.669, -84.492)",17
"(33.669, -84.493)",4
"(33.669, -84.494)",15
"(33.669, -84.495)",2
"(33.669, -84.496)",4
"(33.669, -84.499)",3
"(33.669, -84.5)",5
"(33.669, -84.503)",6
"(33.669, -84.509)",9
"(33.669, -84.51)",9
"(33.669, -84.511)",7
"(33.669, -84.512)",6
"(33.669, -84.513)",3
"(33.669, -84.514)",4
"(33.669, -84.515)",3
"(33.669, -84.516)",1
"(33.67, -84.356)",2
"(33.67, -84.357)",8
"(33.67, -84.358)",6
"(33.67, -84.359)",5
"(33.67, -84.36)",2
"(33.67, -84.367)",2
"(33.67, -84.368)",4
"(33.67, -84.369)",12
"(33.67, -84.37)",10
"(33.67, -84.371)",5
"(33.67, -84.373)",3
"(33.67, -84.377)",3
"(33.67, -84.381)",5
"(33.67, -84.39)",46
"(33.67, -84.391)",4
"(33.67, -84.392)",7
"(33.67, -84.393)",5
"(33.67, -84.394)",23
"(33.67, -84.395)",11
"(33.67, -84.396)",7
"(33.67, -84.397)",2
"(33.67, -84.493)",1
"(33.67, -84.494)",442
"(33.67, -84.495)",9
"(33.67, -84.503)",1
"(33.67, -84.504)",9
"(33.67, -84.505)",4
"(33.67, -84.506)",1
"(33.67, -84.508)",5
"(33.67, -84.509)",8
"(33.67, -84.51)",10
"(33.67, -84.511)",7
"(33.67, -84.512)",4
"(33.67, -84.515)",2
"(33.67, -84.516)",14
"(33.67, -84.517)",11
"(33.671, -84.356)",5
"(33.671, -84.357)",7
"(33.671, -84.358)",9
"(33.671, -84.359)",7
"(33.671, -84.36)",7
"(33.671, -84.362)",84
"(33.671, -84.367)",6
"(33.671, -84.368)",28
"(33.671, -84.369)",22
"(33.671, -84.37)",13
"(33.671, -84.371)",5
"(33.671, -84.372)",1
"(33.671, -84.375)",1
"(33.671, -84.376)",8
"(33.671, -84.382)",7
"(33.671, -84.385)",4
"(33.671, -84.389)",15
"(33.671, -84.39)",2
"(33.671, -84.391)",1
"(33.671, -84.392)",1
"(33.671, -84.393)",7
"(33.671, -84.394)",9
"(33.671, -84.395)",10
"(33.671, -84.396)",15
"(33.671, -84.397)",15
"(33.671, -84.494)",6
"(33.671, -84.496)",13
"(33.671, -84.497)",1
"(33.671, -84.502)",3
"(33.671, -84.503)",292
"(33.671, -84.507)",2
"(33.671, -84.508)",2
"(33.671, -84.509)",8
"(33.671, -84.511)",1
"(33.671, -84.512)",2
"(33.671, -84.513)",17
"(33.671, -84.515)",20
"(33.671, -84.516)",18
"(33.671, -84.517)",1
"(33.672, -84.356)",4
"(33.672, -84.357)",2
"(33.672, -84.358)",3
"(33.672, -84.359)",5
"(33.672, -84.36)",2
"(33.672, -84.367)",20
"(33.672, -84.368)",30
"(33.672, -84.369)",36
"(33.672, -84.37)",14
"(33.672, -84.371)",3
"(33.672, -84.372)",80
"(33.672, -84.373)",43
"(33.672, -84.374)",5
"(33.672, -84.375)",12
"(33.672, -84.376)",16
"(33.672, -84.384)",4
"(33.672, -84.385)",10
"(33.672, -84.386)",3
"(33.672, -84.39)",4
"(33.672, -84.391)",2
"(33.672, -84.393)",6
"(33.672, -84.394)",4
"(33.672, -84.396)",11
"(33.672, -84.397)",8
"(33.672, -84.494)",2
"(33.672, -84.495)",1
"(33.672, -84.497)",1
"(33.672, -84.5)",1
"(33.672, -84.501)",37
"(33.672, -84.502)",7
"(33.672, -84.504)",2
"(33.672, -84.505)",2
"(33.672, -84.506)",1
"(33.672, -84.507)",4
"(33.672, -84.508)",7
"(33.672, -84.509)",1
"(33.672, -84.51)",3
"(33.672, -84.511)",4
"(33.672, -84.515)",33
"(33.672, -84.516)",6
"(33.673, -84.356)",4
"(33.673, -84.357)",5
"(33.673, -84.358)",9
"(33.673, -84.369)",11
"(33.673, -84.37)",2
"(33.673, -84.371)",224
"(33.673, -84.372)",21
"(33.673, -84.373)",3
"(33.673, -84.374)",6
"(33.673, -84.376)",2
"(33.673, -84.377)",3
"(33.673, -84.378)",8
"(33.673, -84.379)",14
"(33.673, -84.381)",1
"(33.673, -84.383)",4
"(33.673, -84.384)",5
"(33.673, -84.385)",369
"(33.673, -84.386)",7
"(33.673, -84.387)",233
"(33.673, -84.388)",18
"(33.673, -84.389)",4
"(33.673, -84.39)",25
"(33.673, -84.391)",246
"(33.673, -84.392)",134
"(33.673, -84.393)",19
"(33.673, -84.394)",17
"(33.673, -84.395)",25
"(33.673, -84.396)",90
"(33.673, -84.397)",3
"(33.673, -84.398)",1
"(33.673, -84.399)",17
"(33.673, -84.4)",25
"(33.673, -84.401)",9
"(33.673, -84.402)",8
"(33.673, -84.403)",3
"(33.673, -84.404)",6
"(33.673, -84.405)",4
"(33.673, -84.406)",5
"(33.673, -84.407)",3
"(33.673, -84.409)",6
"(33.673, -84.411)",2
"(33.673, -84.412)",3
"(33.673, -84.417)",1
"(33.673, -84.494)",12
"(33.673, -84.495)",3
"(33.673, -84.496)",2
"(33.673, -84.497)",4
"(33.673, -84.498)",11
"(33.673, -84.499)",3
"(33.673, -84.5)",3
"(33.673, -84.501)",37
"(33.673, -84.502)",4
"(33.673, -84.503)",7
"(33.673, -84.504)",2
"(33.673, -84.505)",5
"(33.673, -84.506)",2
"(33.673, -84.509)",4
"(33.673, -84.51)",11
"(33.673, -84.511)",23
"(33.673, -84.512)",6
"(33.673, -84.513)",3
"(33.673, -84.514)",1
"(33.673, -84.515)",24
"(33.673, -84.516)",5
"(33.673, -84.518)",1
"(33.673, -84.519)",4
"(33.674, -84.357)",1
"(33.674, -84.358)",6
"(33.674, -84.37)",4
"(33.674, -84.371)",12
"(33.674, -84.372)",1
"(33.674, -84.374)",1
"(33.674, -84.377)",6
"(33.674, -84.378)",5
"(33.674, -84.379)",9
"(33.674, -84.38)",4
"(33.674, -84.381)",5
"(33.674, -84.382)",3
"(33.674, -84.383)",5
"(33.674, -84.384)",5
"(33.674, -84.388)",9
"(33.674, -84.389)",5
"(33.674, -84.39)",2
"(33.674, -84.391)",8
"(33.674, -84.392)",2
"(33.674, -84.393)",15
"(33.674, -84.394)",7
"(33.674, -84.395)",8
"(33.674, -84.4)",60
"(33.674, -84.401)",8
"(33.674, -84.402)",20
"(33.674, -84.403)",28
"(33.674, -84.404)",2
"(33.674, -84.405)",3
"(33.674, -84.406)",5
"(33.674, -84.407)",9
"(33.674, -84.408)",5
"(33.674, -84.409)",9
"(33.674, -84.41)",3
"(33.674, -84.411)",2
"(33.674, -84.412)",3
"(33.674, -84.415)",8
"(33.674, -84.416)",12
"(33.674, -84.417)",2
"(33.674, -84.495)",1
"(33.674, -84.496)",11
"(33.674, -84.497)",179
"(33.674, -84.502)",6
"(33.674, -84.503)",1
"(33.674, -84.505)",1
"(33.674, -84.506)",5
"(33.674, -84.508)",3
"(33.674, -84.509)",2
"(33.674, -84.51)",13
"(33.674, -84.511)",8
"(33.674, -84.512)",3
"(33.674, -84.513)",2
"(33.674, -84.514)",1
"(33.674, -84.515)",10
"(33.674, -84.517)",1
"(33.674, -84.518)",3
"(33.674, -84.519)",2
"(33.675, -84.37)",2
"(33.675, -84.371)",2
"(33.675, -84.375)",2
"(33.675, -84.376)",2
"(33.675, -84.377)",3
"(33.675, -84.378)",12
"(33.675, -84.38)",8
"(33.675, -84.381)",5
"(33.675, -84.384)",7
"(33.675, -84.386)",4
"(33.675, -84.387)",1
"(33.675, -84.388)",1
"(33.675, -84.389)",11
"(33.675, -84.39)",2
"(33.675, -84.393)",1
"(33.675, -84.394)",20
"(33.675, -84.395)",15
"(33.675, -84.398)",45
"(33.675, -84.399)",14
"(33.675, -84.4)",40
"(33.675, -84.401)",13
"(33.675, -84.402)",11
"(33.675, -84.403)",8
"(33.675, -84.404)",2
"(33.675, -84.405)",13
"(33.675, -84.406)",4
"(33.675, -84.407)",3
